Episode,Score,Avg_Score_100
407,24.8058823529407,18.946414921878098
408,15.673063973063595,18.990007630574254
409,11.7195046439625,18.96596738289623
410,9.037062937062586,18.774131826699854
411,26.570418006430465,18.479110815924468
412,26.889552238805408,18.908303806666957
413,18.54594594594544,19.00297731294916
414,10.461237785015893,18.768538843341695
415,56.07654320987831,19.509031548167755
416,9.889700996677394,19.498647982594967
417,18.361165048543253,19.601536083592347
418,15.36981132075457,19.631809736368243
419,54.40597609561706,20.35685541281737
420,33.98996415770543,20.56234427998366
421,9.815384615384275,20.84103755831416
422,21.560283687942785,20.78899936955257
423,36.46507936507886,20.8790733713945
424,37.33848797250776,20.950504762747492
425,56.04326241135138,21.103755568679205
426,16.27859531772519,21.097644511889683
427,56.079598662208994,21.463171841795358
428,29.961538461537806,21.519107511108245
429,22.185015290519182,21.414391230447016
430,56.07259786476921,21.840228320205824
431,56.07118644068059,22.58073765296706
432,33.19999999999969,22.70132687855629
433,33.94246575342431,22.83488197087315
434,48.266898954703095,23.213138262007483
435,14.691970802919027,23.205234070665608
436,14.123076923076331,23.04678256564889
437,20.333224755699707,22.895776683709492
438,26.424324324323955,22.599794246018877
439,21.856939501779028,22.565922563595596
440,17.93333333333292,22.469478119151162
441,-17.983050847457868,22.127758721787703
442,25.66774193548352,22.226163413869813
443,26.59552238805928,22.407991120971886
444,56.0877862595421,22.430985771888476
445,32.96478873239398,22.628348435844725
446,15.517948717948245,22.963397611409473
447,39.691143911438246,23.19356830978312
448,18.569902912620805,23.28680787944987
449,34.25652173912985,23.448351436191356
450,25.282008368200195,23.35625260095445
451,56.02786885246334,23.746689184215928
452,21.736912751677348,24.062087723497402
453,56.088326848252876,24.186615591283076
454,34.76478873239396,24.655022737866272
455,12.548680351906013,24.489400630494256
456,56.07500000000044,25.230690062670917
457,24.699999999999378,25.275321641618284
458,21.799999999999628,25.395623655041103
459,16.746607669616104,25.413484565685604
460,36.66755852842769,25.614283607760008
461,26.717948717948254,25.654342693601706
462,43.12121212121168,25.766235112211593
463,28.11958041957994,25.760616101592586
464,31.299999999999493,25.79259855773293
465,-16.775748502994155,25.805030261892185
466,31.167123287670755,25.96430599637661
467,33.6505338078287,25.740012855367436
468,52.93081761006217,26.072720298867335
469,12.230177514792661,26.37577366637195
470,39.28818897637737,26.54406934923918
471,23.57235494880507,26.615792898727236
472,28.83691275167726,26.770906992686964
473,37.91052631578894,26.96992314693397
474,56.04179104477842,27.38962463947131
475,28.801374570446406,27.117119866657255
476,34.54160583941556,27.363459001974487
477,31.586411149825437,27.29936232915902
478,10.93703703703691,27.15585730016837
479,17.744108761328924,27.0992846420772
480,31.714184397162676,27.21878880488941
481,36.965338645417866,27.251004691343592
482,31.41379310344795,27.36402556552189
483,21.200630914826064,27.405242400985944
484,23.215479876160636,27.343193809917047
485,29.792982456139868,27.228652686466226
486,28.164788732394,27.405300573790168
487,56.07992831541624,27.68343319027767
488,26.787654320987322,27.54764306682088
489,22.201374570446205,27.567278805652496
490,29.571428571428164,27.63265496187038
491,35.945283018867514,27.824263925888054
492,25.885915492957217,27.860140145664055
493,31.174074074073687,28.0561371141628
494,56.010791366906844,28.43285986882128
495,28.9451827242522,28.56910761443115
496,32.821212121211595,28.734273472298067
497,54.97435897435887,29.079206251230847
498,21.997763578274387,29.161308487652583
499,56.04489795919034,29.559043181530196
500,33.90494699646601,29.660759318161535
501,56.077777777782046,30.046900732302998
502,38.07131782945681,30.30872866469593
503,27.964359861591234,30.264845545754596
504,35.18888888888847,30.055839697801357
505,20.714540059346902,30.16577820184311
506,24.90390879478791,30.236999107972807
507,17.2914893617018,30.161855178060417
508,30.68970099667741,30.312021548296553
509,12.022981366459192,30.315056315521524
510,-18.05795795795791,30.044106106571313
511,24.544444444444068,30.02384637095145
512,43.51418439716275,30.19009269253503
513,29.03114754098325,30.294944708485403
514,23.01856677524387,30.42051799838768
515,28.45938566552868,30.144346422944185
516,35.235294117646475,30.397802354153878
517,25.26123778501583,30.466803081518606
518,20.951090342678707,30.522615871737845
519,47.71501706484576,30.45570628143013
520,24.82411575562662,30.364047797409345
521,34.561111111110684,30.61150506236661
522,56.03015873016119,30.956203812788793
523,26.62516556291351,30.857804674767138
524,56.04444444444658,31.044864239486525
525,26.83312101910778,30.752762825564087
526,15.467224080267286,30.74464911318951
527,36.11227436823069,30.544975870249733
528,32.20891089108842,30.567449594545238
529,38.333333333332874,30.728932774973384
530,29.71034482758568,30.465310244601543
531,37.06111111111068,30.275209491305844
532,36.93309608540894,30.312540452159933
533,56.066323024057866,30.53377902486627
534,56.056756756757935,30.611677602886814
535,56.04738675958542,31.025231762453483
536,56.0275362318863,31.44427635554158
537,41.02432432432406,31.65118735122782
538,56.06813186813241,31.947625426665905
539,56.057142857145095,32.28962746021956
540,35.885185185184646,32.469145978738084
541,30.73365695792844,32.95631305679195
542,29.12993197278866,32.990934957165
543,34.239372822299174,33.067373461507394
544,21.26990291262083,32.71919462803819
545,30.93137254901921,32.69886046620444
546,56.04584717608061,33.10413945078576
547,25.782389937106572,32.965051911042444
548,19.00606060606024,32.96941348797684
549,26.55789473684159,32.89242721795395
550,33.00270270270229,32.96963416129898
551,32.79741100323591,32.73732958280671
552,32.59999999999951,32.84596045528993
